FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
r1bqkbnr/1p1p1ppp/p1N1p3/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 6,6.033870967741933,FIDE World Championship Match 1969,b7c6,d7c6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2bq1rk1/7p/2p2np1/3p4/2P5/1P1B3P/r2N1QP1/3R1RK1 b - - 0 21,4.332500000000001,FIDE World Championship Match 1969,d8e7,f6h5,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2b2rk1/4q2p/5np1/2pp4/2PQ4/1P1B3P/r2N2P1/3R1RK1 w - - 0 23,-5.211250000000001,FIDE World Championship Match 1969,d4f4,d4f2,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b2q2p/5np1/2pp4/2P2Q2/1P1B3P/r2N2P1/4RRK1 b - - 3 24,24.377173913043475,FIDE World Championship Match 1969,e7g7,f6h5,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b4qp/5np1/2p5/2Pp4/1P1BQ2P/r2N2P1/4RRK1 w - - 0 26,-8.043589743589745,FIDE World Championship Match 1969,e3e6,e3f4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b3q1p/4Qnp1/2p5/2Pp4/1P1B3P/r2N2P1/4RRK1 w - - 2 27,-4.500652173913044,FIDE World Championship Match 1969,e6e2,f1f6,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b3q1p/5np1/2p5/2Pp4/1P1B3P/r2NQ1P1/4RRK1 b - - 3 27,4.913333333333332,FIDE World Championship Match 1969,f8e8,f7c7,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4r1k1/1b3q1p/5np1/2p5/2Pp4/1P1B3P/r2NQ1P1/4RRK1 w - - 4 28,-4.403714285714286,FIDE World Championship Match 1969,e2f2,e2e8,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4n1k1/1b5p/6p1/2p5/2Pp4/1P1B3P/r2N2P1/5RK1 w - - 0 31,-4.118571428571428,FIDE World Championship Match 1969,d3e4,f1f2,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2P3p1/3B1n2/1p1p4/7P/2r3P1/5RK1 w - - 1 37,-3.201304347826087,FIDE World Championship Match 1969,g2g4,d5e4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
