FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,1.1177272727272727,FIDE World Championship Match 1969,e7e6,b8c6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,0.8564285714285715,FIDE World Championship Match 1969,d2d4,b1c3,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 1 5,1.2796666666666665,FIDE World Championship Match 1969,b8c6,g8f6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkbnr/1p1p1ppp/p1N1p3/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 6,6.048064516129032,FIDE World Championship Match 1969,b7c6,d7c6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkbnr/3p1ppp/p1p1p3/8/4P3/3B4/PPP2PPP/RNBQ1RK1 b kq - 1 7,1.5413333333333337,FIDE World Championship Match 1969,d7d5,d8c7,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkbnr/5ppp/p1p1p3/3p4/4P3/3B4/PPP2PPP/RNBQ1RK1 w kq - 0 8,0.875,FIDE World Championship Match 1969,b1d2,c2c4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqkb1r/5ppp/p1p1pn2/3p4/4P3/3B4/PPPN1PPP/R1BQ1RK1 w kq - 2 9,1.3193333333333335,FIDE World Championship Match 1969,d1e2,f1e1,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bqk2r/4bppp/p1p1pn2/3p4/4P3/3B4/PPPNQPPP/R1B2RK1 w kq - 4 10,1.07,FIDE World Championship Match 1969,b2b3,c2c4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/4bppp/p1p1pn2/3p4/4P3/1P1B4/P1PNQPPP/R1B2RK1 w - - 1 11,1.28258064516129,FIDE World Championship Match 1969,c1b2,e4e5,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/4bppp/2p1pn2/p2p4/4P3/1P1B4/PBPNQPPP/R4RK1 w - - 0 12,1.14075,FIDE World Championship Match 1969,f2f4,f1e1,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/4bppp/2p1pn2/p2p4/4PP2/1P1B4/PBPNQ1PP/R4RK1 b - - 0 12,1.2577419354838713,FIDE World Championship Match 1969,g7g6,a5a4,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/4bp1p/2p1pnp1/p2p4/4PP2/1P1B4/PBPNQ1PP/R4RK1 w - - 0 13,1.1158139534883715,FIDE World Championship Match 1969,a1d1,a2a4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
