FEN,Best Move,Best Eval,Second Best Eval,Maia Easiness
8/5B1R/6p1/2n3k1/8/1p5P/6K1/2r5 w - - 0 47,h3h4,-110,-332,0.6666666666666666
8/5B1R/5kp1/2n4P/8/5K2/1pr5/8 w - - 0 50,f7a2,-191,-424,0.3333333333333333
4r1k1/pp3pp1/7p/P1Rp2q1/3P1nP1/1P1bNP2/3Q1K1P/5B2 b - - 4 40,g5h4,475,249,0.3333333333333333
3rr2k/p1pqbp1p/2pp4/5N2/3QP3/1P6/P1P2KPP/R3R3 b - - 3 18,f7f6,-173,-9998,0.3333333333333333
4r2k/2p4p/8/6r1/3p1p2/1P1NbQ2/P1P1R1P1/R2K2q1 w - - 2 36,d3e1,-159,-375,0.5925925925925926
3Q4/4r1kp/4r3/8/P2p1p2/1P2b3/2P1R1P1/R2KN1q1 b - - 0 40,f4f3,367,98,0.5555555555555556
3Q4/4r1kp/4r3/8/P2p4/1P2bP2/2P1R3/R2KN1q1 b - - 0 41,e3g5,532,-6,0.37037037037037035
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,a4b3,51,-212,0.3333333333333333
2b4k/4Q2p/pq1p2p1/1p1Bn3/4P3/4R2P/PP3KN1/3q4 b - - 0 36,d1f3,667,302,0.8518518518518519
2b4k/4Q2p/pq1p2p1/1p1Bn3/4P3/4Rq1P/PP3KN1/8 w - - 1 37,f2g1,-679,-9995,0.5555555555555556
2b4k/4Q2p/pq1p2p1/1p1Bn3/4P3/4Rq1P/PP4N1/4K3 b - - 2 37,e5d3,9995,858,0.3333333333333333
2b4k/4Q2p/p2p2p1/qp1Bn3/4P3/4Rq1P/PP4N1/4K3 w - - 3 38,e3c3,-483,-9998,0.5
4r1k1/1pp2pp1/1n1p1q1p/2r5/pP1NPP2/2P2Q2/P5PP/3RR1K1 b - - 0 22,c5c4,-62,-303,0.3333333333333333
6k1/1p3pp1/1n1r1q1p/1N2P3/pp3P2/2P1RQ2/P6P/6K1 b - - 0 28,f6g6,328,-177,0.3333333333333333
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,a4b3,44,-266,0.3333333333333333
r1r3k1/3nbp2/pq1pb2p/1p2P1p1/3p4/3Q2BP/PP3PP1/1B1RRNK1 b - - 0 22,d7f8,-167,-434,0.3333333333333333
3r4/p3kp1p/5p2/1Rn1p3/8/2P1P1N1/P1P2RPP/3r2K1 w - - 5 24,f2f1,75,-195,0.5
