position_index,board,move,active_elo,opponent_elo,predicted_move,predicted_move_prob,best_move,best_move_prob,transitional,monotonic
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1100,1100,f8c5,0.32917312,f8c5,0.32917312,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1200,1200,f8c5,0.35074076,f8c5,0.35074076,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1300,1300,f8c5,0.37691563,f8c5,0.37691563,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1400,1400,f8c5,0.41828233,f8c5,0.41828233,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1500,1500,f8c5,0.44253483,f8c5,0.44253483,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1600,1600,f8c5,0.43905625,f8c5,0.43905625,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1700,1700,f8c5,0.4181924,f8c5,0.4181924,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1800,1800,f8e7,0.40012267,f8c5,0.38290387,False,False
0,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_b_KQkq_-_1_6,a6a5,1900,1900,f8e7,0.48010385,f8c5,0.34580025,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1100,1100,a2a4,0.30840036,a2a4,0.30840036,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1200,1200,a2a4,0.3201333,a2a4,0.3201333,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1300,1300,a2a4,0.32518053,a2a4,0.32518053,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1400,1400,a2a3,0.34263816,a2a4,0.31609952,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1500,1500,a2a3,0.35966876,a2a4,0.29822963,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1600,1600,a2a3,0.3466908,a2a4,0.2832151,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1700,1700,c2c3,0.34906393,a2a4,0.26409784,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1800,1800,c2c3,0.4002137,a2a4,0.2569902,False,False
1,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/pp2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,a2a4,1900,1900,c2c3,0.43305495,a2a4,0.27059805,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1100,1100,c2c3,0.24070561,c1e3,0.03421056,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1200,1200,c2c3,0.2624308,c1e3,0.032906324,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1300,1300,c2c3,0.28184992,c1e3,0.031456772,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1400,1400,c2c3,0.2898029,c1e3,0.03198242,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1500,1500,c2c3,0.27131435,c1e3,0.032893486,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1600,1600,c2c3,0.26310712,c1e3,0.03032123,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1700,1700,e1g1,0.2912299,c1e3,0.02804602,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1800,1800,e1g1,0.3324506,c1e3,0.025757732,False,False
2,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n2n2/p3p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R_w_KQkq_-_0_8,e1g1,1900,1900,e1g1,0.37945887,c1e3,0.02167756,False,False
3,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n5/p3p2n/Pp2P3/1B1P1N2/1PP2PPP/RNBQ1RK1_w_kq_-_2_9,c2c3,1100,1100,f3g5,0.26239187,f3g5,0.26239187,False,False
3,https://lichess.org/analysis/standard/r1bqkb1r/2pp1ppp/2n5/p3p2n/Pp2P3/1B1P1N2/1PP2PPP/RNBQ1RK1_w_kq_-_2_9,c2c3,1200,1200,f3g5,0.25935513,f3g5,0.25935513,False,False
